 0.070     5.693     2834.  -1.324  3.369  0.905    1.000   5.813  -0.0918  0.0000   0.000E+00  4.429E-01  0.000E+00
 0.070     5.702     2835.  -1.327  3.374  0.900    1.000   5.815  -0.0853  0.0000   0.000E+00  4.431E-01  0.000E+00
 0.070     5.711     2837.  -1.331  3.379  0.895    1.000   5.817  -0.0789  0.0000   0.000E+00  4.433E-01  0.000E+00
 0.070     5.720     2839.  -1.335  3.384  0.890    1.000   5.819  -0.0724  0.0000   0.000E+00  4.435E-01  0.000E+00
 0.070     5.730     2841.  -1.338  3.388  0.885    1.000   5.821  -0.0660  0.0000   0.000E+00  4.437E-01  0.000E+00
 0.070     5.748     2844.  -1.346  3.398  0.876    1.000   5.825  -0.0531  0.0000   0.000E+00  4.441E-01  0.000E+00
 0.070     5.757     2846.  -1.349  3.403  0.871    1.000   5.827  -0.0466  0.0000   0.000E+00  4.443E-01  0.000E+00
 0.070     5.767     2848.  -1.353  3.407  0.866    1.000   5.829  -0.0402  0.0000   0.000E+00  4.445E-01  0.000E+00
 0.070     5.776     2850.  -1.356  3.412  0.862    1.000   5.831  -0.0338  0.0000   0.000E+00  4.447E-01  0.000E+00
 0.070     5.785     2852.  -1.360  3.417  0.857    1.000   5.833  -0.0274  0.0000   0.000E+00  4.449E-01  0.000E+00
 0.070     5.795     2854.  -1.363  3.421  0.853    1.000   5.835  -0.0211  0.0000   0.000E+00  4.450E-01  0.000E+00
 0.070     5.805     2856.  -1.366  3.426  0.848    1.000   5.837  -0.0147  0.0000   0.000E+00  4.452E-01  0.000E+00
 0.070     5.815     2858.  -1.370  3.430  0.843    1.000   5.839  -0.0084  0.0000   0.000E+00  4.454E-01  0.000E+00
 0.070     5.824     2861.  -1.373  3.435  0.839    1.000   5.841  -0.0021  0.0000   0.000E+00  4.456E-01  0.000E+00
 0.070     5.835     2863.  -1.376  3.440  0.835    1.000   5.843   0.0042  0.0000   0.000E+00  4.458E-01  0.000E+00
 0.070     5.845     2865.  -1.379  3.444  0.830    1.000   5.845   0.0105  0.0000   0.000E+00  4.460E-01  0.000E+00
 0.070     5.856     2868.  -1.382  3.449  0.826    1.000   5.846   0.0167  0.0000   0.000E+00  4.462E-01  0.000E+00
 0.070     5.866     2870.  -1.385  3.453  0.822    1.000   5.848   0.0229  0.0000   0.000E+00  4.463E-01  0.000E+00
 0.070     5.878     2872.  -1.388  3.458  0.817    1.000   5.850   0.0291  0.0000   0.000E+00  4.465E-01  0.000E+00
 0.070     5.889     2875.  -1.391  3.462  0.813    1.000   5.852   0.0353  0.0000   0.000E+00  4.467E-01  0.000E+00
 0.070     5.901     2878.  -1.394  3.467  0.809    1.000   5.854   0.0414  0.0000   0.000E+00  4.469E-01  0.000E+00
 0.070     5.914     2880.  -1.397  3.471  0.805    1.000   5.856   0.0474  0.0000   0.000E+00  4.471E-01  0.000E+00
 0.070     5.926     2883.  -1.400  3.475  0.801    1.000   5.858   0.0530  0.0000   0.000E+00  4.472E-01  0.000E+00
 0.070     5.938     2885.  -1.402  3.479  0.797    1.000   5.859   0.0583  0.0000   0.000E+00  4.474E-01  0.000E+00
 0.070     5.950     2887.  -1.404  3.483  0.794    1.000   5.861   0.0631  0.0000   0.000E+00  4.475E-01  0.000E+00
 0.070     5.961     2890.  -1.406  3.486  0.791    1.000   5.862   0.0676  0.0000   0.000E+00  4.476E-01  0.000E+00
 0.070     5.973     2892.  -1.408  3.489  0.788    1.000   5.863   0.0718  0.0000   0.000E+00  4.478E-01  0.000E+00
 0.070     5.984     2893.  -1.410  3.492  0.786    1.000   5.865   0.0756  0.0000   0.000E+00  4.479E-01  0.000E+00
 0.070     5.995     2895.  -1.411  3.494  0.784    1.000   5.866   0.0792  0.0000   0.000E+00  4.480E-01  0.000E+00
 0.070     6.006     2897.  -1.413  3.497  0.781    1.000   5.867   0.0824  0.0000   0.000E+00  4.481E-01  0.000E+00
